"catalog","order","family","genus","species","date","dates_corr","year","orders"
"CASENT9101445","Trichoptera","Philopotamidae","Dolophilodes","novusamericanus","11/5/14",2014-11-05,"2014","Trichoptera"
"CASENT9101446","Trichoptera","Philopotamidae","Wormaldia","anilla","11/5/14",2014-11-05,"2014","Trichoptera"
"CASLOT059836","Plecoptera","Leuctridae","Despaxia","augusta","11/5/14",2014-11-05,"2014","Plecoptera"
"CASLOT059837","Plecoptera","Capniidae","Mesocapnia","projecta","11/5/14",2014-11-05,"2014","Plecoptera"
"CASLOT059818","Plecoptera","Nemouridae","Malenka","depressa","11/5/14",2014-11-05,"2014","Plecoptera"
"CASLOT059826","Diptera","Dixidae","Meringodixa","chaloensis","11/5/14",2014-11-05,"2014","Diptera"
"CASENT9101450","Diptera","Dixidae","Dixa","sp.","11/5/14",2014-11-05,"2014","Diptera"
"CASENT9101454","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","11/5/14",2014-11-05,"2014","Ephemeroptera"
"CASLOT059827","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","helena","11/7/14",2014-11-07,"2014","Ephemeroptera"
"CASLOT059828","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","11/7/14",2014-11-07,"2014","Ephemeroptera"
"CASLOT059814","Littorinimorpha","Hydrobiidae","Pyrgulopsis","sp.","11/18/14",2014-11-18,"2014","Littorinimorpha"
"CASENT9101448","Trichoptera","Rhyacophilidae","Rhyacophila","oreta","11/18/14",2014-11-18,"2014","Trichoptera"
"CASENT9101459","Coleoptera","Scirtidae","Elodes","sp.","11/18/14",2014-11-18,"2014","Coleoptera"
"CASENT9101451","Diptera","Dixidae","Dixa","sp.","11/18/14",2014-11-18,"2014","Diptera"
"CASLOT059812","Odonata","Coenagrionidae","Argia","vivida","11/18/14",2014-11-18,"2014","Odonata"
"CASLOT059829","Ephemeroptera","Leptophlebiidae","Paraleptophebia","helena","11/14/14",2014-11-14,"2014","Ephemeroptera"
"CASLOT059830","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","debilis","11/14/14",2014-11-14,"2014","Ephemeroptera"
"CASENT9133012","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","debilis","11/14/14",2014-11-14,"2014","Ephemeroptera"
