Sample ID,method,taxa,User name,Date and Time,Nucleic Acid,Unit,A260 (Abs),A280 (Abs),260/280,260/230,Sample Type,Factor
210,bead,coleoptera,ccg-user,2/14/2024 12:02:18 PM,40.6,ng/µl,0.813,0.362,2.24,1.66,DNA,50
211,bead,coleoptera,ccg-user,2/14/2024 12:03:38 PM,63.2,ng/µl,1.264,0.604,2.09,1.34,DNA,50
212,bead,coleoptera,ccg-user,2/14/2024 12:04:57 PM,55.5,ng/µl,1.111,0.482,2.3,1.65,DNA,50
213,bead,coleoptera,ccg-user,2/14/2024 12:05:48 PM,50,ng/µl,1,0.474,2.11,1.33,DNA,50
214,bead,coleoptera,ccg-user,2/14/2024 12:06:18 PM,48.5,ng/µl,0.97,0.425,2.28,1.62,DNA,50
215,hs,coleoptera,ccg-user,2/14/2024 12:06:45 PM,31.7,ng/µl,0.634,0.276,2.3,1.3,DNA,50
216,hs,coleoptera,ccg-user,2/14/2024 12:07:09 PM,44,ng/µl,0.881,0.546,1.61,0.54,DNA,50
217,hs,coleoptera,ccg-user,2/14/2024 12:07:34 PM,93.7,ng/µl,1.874,0.956,1.96,1.33,DNA,50
218,hs,coleoptera,ccg-user,2/14/2024 12:07:58 PM,44.9,ng/µl,0.898,0.545,1.65,0.51,DNA,50
219,hs,coleoptera,ccg-user,2/14/2024 12:08:20 PM,52.8,ng/µl,1.056,0.537,1.97,1.02,DNA,50
230,bead,diptera,ccg-user,2/14/2024 12:08:45 PM,1.4,ng/µl,0.029,0.013,2.25,0.28,DNA,50
231,bead,diptera,ccg-user,2/14/2024 12:09:06 PM,1.1,ng/µl,0.022,0.016,1.41,0.23,DNA,50
232,bead,diptera,ccg-user,2/14/2024 12:09:27 PM,-0.3,ng/µl,-0.007,-0.005,1.45,-0.08,DNA,50
233,bead,diptera,ccg-user,2/14/2024 12:09:50 PM,1.2,ng/µl,0.025,0.023,1.07,0.2,DNA,50
234,bead,diptera,ccg-user,2/14/2024 12:10:18 PM,1,ng/µl,0.021,0.01,2,0.17,DNA,50
235,hs,diptera,ccg-user,2/14/2024 12:10:45 PM,4,ng/µl,0.08,0.069,1.16,0.29,DNA,50
236,hs,diptera,ccg-user,2/14/2024 12:11:10 PM,4.1,ng/µl,0.083,0.061,1.35,0.41,DNA,50
237,hs,diptera,ccg-user,2/14/2024 12:11:32 PM,20.2,ng/µl,0.405,0.528,0.77,0.14,DNA,50
238,hs,diptera,ccg-user,2/14/2024 12:11:58 PM,3.9,ng/µl,0.077,0.067,1.16,0.31,DNA,50
239,hs,diptera,ccg-user,2/14/2024 12:12:17 PM,3.9,ng/µl,0.078,0.067,1.16,0.36,DNA,50
202,dneasy,coleoptera,ccg-user,2/14/2024 10:08:40 AM,48.1,ng/µl,0.963,0.518,1.86,2.19,DNA,
200,dneasy,coleoptera,ccg-user,2/14/2024 10:04:28 AM,53.7,ng/µl,1.075,0.578,1.86,1.99,DNA,
201,dneasy,coleoptera,ccg-user,2/14/2024 10:07:28 AM,30,ng/µl,0.601,0.326,1.84,2.18,DNA,
221,dneasy,coleoptera,ccg-user,2/14/2024 10:14:37 AM,9.4,ng/µl,0.187,0.099,1.9,2.39,DNA,
203,dneasy,coleoptera,ccg-user,2/14/2024 10:12:43 AM,59.7,ng/µl,1.194,0.653,1.83,1.9,DNA,
204,dneasy,diptera,ccg-user,2/14/2024 10:13:19 AM,34.2,ng/µl,0.684,0.377,1.81,1.68,DNA,
220,dneasy,diptera,ccg-user,2/14/2024 10:13:53 AM,2.9,ng/µl,0.058,0.029,1.97,-1.74,DNA,
222,dneasy,diptera,ccg-user,2/14/2024 10:16:05 AM,9.6,ng/µl,0.192,0.116,1.66,3.04,DNA,
223,dneasy,diptera,ccg-user,2/14/2024 10:16:46 AM,6.8,ng/µl,0.137,0.069,1.97,9.16,DNA,
224,dneasy,diptera,ccg-user,2/14/2024 10:17:38 AM,10.6,ng/µl,0.211,0.117,1.81,2.94,DNA,
208,alcohol,coleoptera,ccg-user,2/14/2024 10:33:43 AM,46.6,ng/µl,0.932,0.486,1.92,1.79,DNA,
205,alcohol,coleoptera,ccg-user,2/14/2024 10:31:48 AM,29.6,ng/µl,0.592,0.309,1.91,1.65,DNA,
206,alcohol,coleoptera,ccg-user,2/14/2024 10:32:32 AM,19.4,ng/µl,0.389,0.207,1.88,1.42,DNA,
207,alcohol,coleoptera,ccg-user,2/14/2024 10:33:10 AM,63.9,ng/µl,1.277,0.658,1.94,1.78,DNA,
209,alcohol,coleoptera,ccg-user,2/14/2024 10:34:18 AM,48.6,ng/µl,0.972,0.509,1.91,1.66,DNA,
225,alcohol,diptera,ccg-user,2/14/2024 10:34:54 AM,3.4,ng/µl,0.069,0.044,1.58,0.54,DNA,
226,alcohol,diptera,ccg-user,2/14/2024 10:35:59 AM,4.6,ng/µl,0.092,0.049,1.86,0.42,DNA,
227,alcohol,diptera,ccg-user,2/14/2024 10:36:35 AM,1.5,ng/µl,0.03,0.015,1.94,0.5,DNA,
228,alcohol,diptera,ccg-user,2/14/2024 10:37:21 AM,5.7,ng/µl,0.114,0.054,2.11,0.78,DNA,
229,alcohol,diptera,ccg-user,2/14/2024 10:37:57 AM,4.7,ng/µl,0.093,0.054,1.72,0.48,DNA,
