catalog,well,plate,order,family,genus,species,date,dates_corr,year,orders
CASENT9131710,H1,CAS_P29,Trichoptera,Philopotamidae,Wormaldia,gabriella,9/30/1982,2019-09-30,2019,Trichoptera
CASENT9131711,D2,CAS_P29,Trichoptera,Lepidostomatidae,Lepidostoma,errigena,5/4/1983,2019-05-04,2019,Trichoptera
CASENT9131920,E2,CAS_P29,Trichoptera,Lepidostomatidae,Lepidostoma,errigena,5/4/1983,2019-05-04,2019,Trichoptera
CASENT9131707,F2,CAS_P29,Trichoptera,Rhyacophilidae,Rhyacophila,norcuta,9/30/1983,2019-09-30,2019,Trichoptera
CASENT9131702,A3,CAS_P29,Ephemeroptera,Heptageniidae,Rhithrogena,morrisoni,1/11/1983,2019-01-11,2019,Ephemeroptera
CASENT9131706,B3,CAS_P29,Plecoptera,Capniidae,Capnia,californica,1/15/1983,2019-01-15,2019,Plecoptera
CASENT9131466,C3,CAS_P29,Plecoptera,Capniidae,Capnia,californica,1/15/1983,2019-01-15,2019,Plecoptera
CASENT9131796,D3,CAS_P29,Plecoptera,Capniidae,Capnia,elongata,4/1/1983,2019-04-01,2019,Plecoptera
CASENT9132347,E3,CAS_P29,Trichoptera,Philopotamidae,Chimarra,sp.,3/20/1982,2019-03-20,2019,Trichoptera
CASENT9131607,F3,CAS_P29,Ephemeroptera,Baetidae,Callibaetis,californicus,9/26/1983,2019-09-26,2019,Ephemeroptera
CASENT9132522,G3,CAS_P29,Diptera,Simuliidae,Cnephia,sp.,9/24/1983,2019-09-24,2019,Diptera
CASENT9131821,H3,CAS_P29,Megaloptera,Sialidae,Sialis,sp.,9/17/1982,2019-09-17,2019,Megaloptera
CASENT9131859,A4,CAS_P29,Plecoptera,Chloroperlidae,Kathoperla,perdita,3/27/1982,2019-03-27,2019,Plecoptera
CASENT9131721,B4,CAS_P29,Ephemeroptera,Baetidae,Baetis,intermedius,1/15/1983,2019-01-15,2019,Ephemeroptera
CASENT9132858,C4,CAS_P29,Trichoptera,Odontoceridae,Parthina,linea,1/23/1984,2019-01-23,2019,Trichoptera
CASENT9131453,D4,CAS_P29,Trichoptera,Glossosomatidae,Agapetus,sp.,3/27/1983,2019-03-27,2019,Trichoptera
CASENT9131704,F4,CAS_P29,Trichoptera,Hydropsychidae,Homoplectra,oaklandensis,"1/5/1983, 1/8/1983, 1/10/1983",2019-01-05,2019,Trichoptera
CASENT9131569,G4,CAS_P29,Ephemeroptera,Heptageniidae,Heptagenia,rubroventris,9/17/1982,2019-09-17,2019,Ephemeroptera
